person_name,user_name,email,personal_number,birth_date,address,phone_number,mac_address,ip_address,clabe,accessed_at,session_duration,download_speed,upload_speed,consumed_trafic,unique_id
Judith Escalante Muñiz,judithescalantemuñiz,judithescalantemuñiz@gmail.com,38473429926,2003-09-18,"Ampliación Olivera 443 796 , San Camilo los altos, MICH 41786",1-401-370-3544x8493,14:2e:cb:a5:96:08,21.251.209.160,GB15OWBD3324055973713,2026-06-14 19:37:29,14824,316,21,1290315,ea8e766e-52d7-45de-a1af-99f8cc370ee8
Darío Débora Sisneros,daríodéborasisneros,daríodéborasisneros@hotmail.com,52137549334,1965-12-15,"Privada Papua Nueva Guinea 028 Interior 816 , Nueva Venezuela, SIN 63955",(061)614-6164,d4:90:79:fc:39:03,165.27.87.143,GB96RPVV9520657209330,2026-06-14 19:37:29,9461,819,749,473610,981b9c69-7f47-4e73-bc83-22f43862e540
Juan Iglesias Sanabria,juaniglesiassanabria,juaniglesiassanabria@yahoo.com,60954333369,1947-04-13,"Andador República Dominicana 141 Edif. 335 , Depto. 534 , San Arturo de la Montaña, QRO 71413-4060",08379201573,07:84:54:ff:cf:3a,59.181.242.216,GB73VWCF8508240901125,2026-06-14 19:37:29,17540,687,524,912512,2585f708-04e7-4d0e-81f1-148935a8f107
Wilfrido Aurelio Alfaro,wilfridoaurelioalfaro,wilfridoaurelioalfaro@hotmail.com,51246007945,2002-05-03,"Andador Borrego 975 Interior 741 , Vieja Noruega, VER 24526",01494623082,35:71:0c:82:88:54,142.144.100.191,GB50VLIA5879319582100,2026-06-14 19:37:29,29517,676,326,1431692,47896200-9e4b-45fd-aeaf-71bb39127074
Ivonne Sonia Montoya,ivonnesoniamontoya,ivonnesoniamontoya@hotmail.com,13340136103,1932-04-09,"Privada Sur Quintero 544 716 , San Sessa de la Montaña, Q. ROO 88325-6920",821.075.3403x203,94:29:29:0a:97:60,107.196.78.105,GB57CGJB8255827732949,2026-06-14 19:37:29,33651,709,789,243439,0e02bb0d-a613-408f-8b84-3423dd28bbb7
Lic. Pamela Fuentes,lic.pamelafuentes,lic.pamelafuentes@hotmail.com,28295597513,1993-06-08,"Diagonal Norte Granado 257 Edif. 292 , Depto. 030 , San Minerva los bajos, SLP 21646",1-875-143-8837x598,f7:5e:e1:f8:4f:5e,198.126.214.103,GB60JJVK9668286446643,2026-06-14 19:37:29,12940,50,625,711816,bb9a1b07-9bbd-49fd-825c-0b183bc5e41c
Dr. Óscar Briones,dr.óscarbriones,dr.óscarbriones@hotmail.com,54277930365,2011-07-25,"Calzada Olivo 597 Interior 855 , San Cristobal de la Montaña, NAY 71182",814-456-5574,aa:f4:2b:ae:98:14,8.37.82.12,GB47YKDG2050008309870,2026-06-14 19:37:29,31337,695,488,940018,43a845dc-e65d-40a6-9ce8-cc0500ed38aa
Homero Amaya Chávez,homeroamayachávez,homeroamayachávez@gmail.com,84985782410,1935-06-05,"Circunvalación Puebla 784 Edif. 182 , Depto. 065 , Nueva Gabón, ZAC 32313-4109",1-530-137-2372x24203,9c:8a:51:66:df:f9,205.66.58.105,GB94OGNY3039475447952,2026-06-14 19:37:29,32406,644,47,447551,4c1c71d6-dfef-424c-a9a5-2cf6c8f85564
Esther Matías Pérez,esthermatíaspérez,esthermatíaspérez@gmail.com,31279556703,1940-01-17,"Avenida Seychelles 091 Interior 422 , San Asunción los bajos, PUE 24057",07139355946,a2:06:5d:93:a3:95,20.176.212.230,GB69FZWK1645870552948,2026-06-14 19:37:29,25876,513,721,1478465,a187220a-81c2-4cd1-883e-2c55a216cae8
Elvia Ana Batista,elviaanabatista,elviaanabatista@hotmail.com,44759483397,1924-08-30,"Ampliación Carranza 189 Edif. 377 , Depto. 617 , San Raquel los bajos, SLP 20959",1-922-104-4717,da:e1:93:ec:71:b2,183.205.101.5,GB96PBTO0430035146684,2026-06-14 19:37:29,29133,668,268,44429,1ae66715-11f2-4148-bf14-426d06b22790
Rubén Luis Arellano,rubénluisarellano,rubénluisarellano@yahoo.com,24599203221,2011-06-07,"Periférico Norte Rascón 437 Edif. 199 , Depto. 724 , San Darío los bajos, CHIH 24684",+85(1)4710538021,41:46:2d:37:72:23,78.149.242.144,GB48HDJX0734199119967,2026-06-14 19:37:29,4339,570,184,524767,c3a15bf8-c117-4eab-a10c-78ab8419f288
Humberto Olga Salcido,humbertoolgasalcido,humbertoolgasalcido@gmail.com,69677247350,1946-03-15,"Diagonal República Dominicana 358 573 , Vieja Côte d'Ivoire, MICH 06081-4224",(090)420-7555x16208,4e:9a:17:97:c1:c3,117.218.140.177,GB72VERV9159950830314,2026-06-14 19:37:29,3991,857,45,1392956,b40e2450-8fd5-484d-aaf7-142fc0349297
Yuridia Rosalia Raya,yuridiarosaliaraya,yuridiarosaliaraya@gmail.com,88294376046,1955-02-11,"Callejón Ortega 518 Interior 582 , San Fabiola los altos, CHIH 98535",(459)422-9438,11:68:3a:ac:3f:7b,170.93.162.219,GB03CYCN4943642427376,2026-06-14 19:37:29,21023,528,10,719622,03de9c9b-0704-47ac-9ae2-8c47abc0a1c3
Sr(a). Francisco Javier Mena,sr(a).franciscojaviermena,sr(a).franciscojaviermena@gmail.com,20537198382,1994-02-06,"Avenida San Luis Potosí 366 Interior 513 , San Gerardo de la Montaña, GTO 30417-1552",691.920.7252x078,a6:49:2c:fd:bc:39,32.89.216.174,GB28BGQC5856723667182,2026-06-14 19:37:29,19834,85,740,1349672,62bb6191-b0da-4f72-984c-078b00d2bae3
Juan Carlos Parra Gallegos,juancarlosparragallegos,juancarlosparragallegos@gmail.com,38621159128,1980-04-05,"Andador Palomo 186 129 , Vieja República Árabe Siria, BC 21259",1-642-178-4508,76:ca:3e:d2:c9:ab,83.189.88.199,GB09IEXA6904933890898,2026-06-14 19:37:29,665,495,493,1292403,49bf8ad6-9a73-4350-b6c7-e48960b3e577
Mateo Patricio Flórez Rolón,mateopatricioflórezrolón,mateopatricioflórezrolón@yahoo.com,57471253617,1932-04-29,"Privada Noruega 008 Interior 762 , Vieja Uruguay, TAB 85697-4680",1-498-493-2644,86:74:74:2f:67:0f,197.77.57.102,GB91DORP1662119970941,2026-06-14 19:37:29,9254,135,489,1325192,bb2de488-432b-4283-bb1f-167b0849eda2
Silvano Teresa Navarro,silvanoteresanavarro,silvanoteresanavarro@hotmail.com,15939781249,1965-07-16,"Circunvalación Islas Salomón 125 Interior 087 , Vieja Sudán del Sur, DGO 66477",673.451.1784,5f:5f:95:44:c0:c0,123.167.102.9,GB53EUCI3423953164402,2026-06-14 19:37:29,13096,488,187,354924,8f238bb5-f46c-488a-b723-a8f5713844e5
Sr(a). Blanca Ceja,sr(a).blancaceja,sr(a).blancaceja@gmail.com,81796392868,1920-09-30,"Circunvalación Sonora 878 Edif. 057 , Depto. 052 , San Eduardo los altos, HGO 31408-1675",277.907.2093x4588,16:a7:25:c6:2e:27,161.220.144.55,GB21HRCZ8342634406860,2026-06-14 19:37:29,3604,172,88,1695291,0a1c71a6-52ab-4417-b471-0963b000959b
Fernando Prieto,fernandoprieto,fernandoprieto@yahoo.com,97234679674,1997-09-23,"Ampliación Norte Aparicio 705 Edif. 689 , Depto. 234 , San Cecilia de la Montaña, SON 99908",(338)954-6717x93564,66:8e:92:96:53:7c,28.187.113.130,GB29VWON9673819455492,2026-06-14 19:37:29,28870,775,550,710393,ed6221d5-90e7-40c0-9c9f-d44d4f6d439b
Rufino Roberto Archuleta,rufinorobertoarchuleta,rufinorobertoarchuleta@hotmail.com,84530954175,1989-07-26,"Circunvalación Norte Olvera 083 Edif. 262 , Depto. 327 , Nueva República Federal Democrática de Nepal, TLAX 98453-3721",(200)008-3089,fb:6c:40:ec:80:8c,24.71.81.56,GB09KUSA8320971134278,2026-06-14 19:37:29,26673,660,114,632642,068c89f3-4766-4bdb-84ab-a2eece7ead07
Iván Farías,ivánfarías,ivánfarías@gmail.com,25101732904,1975-11-26,"Circuito Salgado 761 Edif. 739 , Depto. 940 , Vieja Jordania, NL 47236-1437",533.556.4796x11034,35:79:35:23:1d:d2,30.101.221.72,GB11FMWB0658059461763,2026-06-14 19:37:29,25472,98,362,1528464,6c05b059-8eaa-4123-af2c-566b680e8a1c
Reynaldo Roberto Vanegas,reynaldorobertovanegas,reynaldorobertovanegas@yahoo.com,22406337620,2014-05-14,"Calle Nuevo León 040 756 , Nueva Mauritania, JAL 38677-3037",310-292-4459,e9:2b:3a:79:eb:5c,94.213.41.68,GB56ODBJ2687535757944,2026-06-14 19:37:29,30857,414,547,1085113,6a18c265-b37c-479f-92f5-fa96606b0df4
José Carlos Miguel Quezada Vásquez,josécarlosmiguelquezadavásquez,josécarlosmiguelquezadavásquez@hotmail.com,81007204217,1932-10-28,"Circuito Sur Gaona 703 Edif. 672 , Depto. 777 , Vieja República de Moldova, JAL 10558-2464",535.641.7768x694,66:e5:91:b5:67:96,151.35.7.233,GB89FKZU9696514369843,2026-06-14 19:37:29,31939,121,293,871990,f9b12548-0c71-424b-a1dc-495bf3f96013
Antonia Florencia Flórez Meza,antoniaflorenciaflórezmeza,antoniaflorenciaflórezmeza@gmail.com,57352059448,1934-03-10,"Avenida Sur Valdés 490 Edif. 779 , Depto. 752 , San Itzel los bajos, BC 33275",06768953462,9a:0c:9c:69:0c:3b,213.26.119.35,GB34HSSC6929140422682,2026-06-14 19:37:29,5744,288,753,913639,65ed1760-9b46-4eb8-8fb0-044c9b4049b5
Violeta Gerónimo Sánchez,violetagerónimosánchez,violetagerónimosánchez@yahoo.com,80290082785,1969-07-02,"Circunvalación Belice 229 371 , Vieja Belarús, CHIS 81024",960-220-7351x9755,80:60:5f:84:27:2c,185.55.55.30,GB77MMOD8789208043151,2026-06-14 19:37:29,6001,200,629,1598992,337a55fd-95b1-4676-aec4-70565a377b5a
Lic. Luis Manuel Casillas,lic.luismanuelcasillas,lic.luismanuelcasillas@gmail.com,36503221271,1930-08-30,"Peatonal Australia 022 Interior 023 , Nueva Reino Unido de Gran Bretaña e Irlanda del Norte, SLP 00575",047.633.5262x177,b5:0d:bc:63:a3:25,101.14.88.226,GB39QDWO2678920775625,2026-06-14 19:37:29,28339,436,418,1347296,077eb7c6-9594-4602-9ef0-800dc89e8f5a
Emilia Girón Arenas,emiliagirónarenas,emiliagirónarenas@hotmail.com,1498364130,1999-10-15,"Privada Caballero 932 Interior 877 , Vieja Eritrea, SLP 91179",(575)915-6614,10:48:1c:74:fd:4c,126.197.149.165,GB57VEJM6596613571524,2026-06-14 19:37:29,17515,46,368,1422186,ac0a3939-6656-45c6-9e29-e2cbcc9835e1
Diana Tórrez,dianatórrez,dianatórrez@gmail.com,7572526825,1989-04-10,"Retorno Ecuador 890 Edif. 640 , Depto. 805 , Vieja Kenya, ZAC 32499",429-163-0390,b5:44:d7:f9:82:d5,196.55.126.222,GB23KFJZ1325204082280,2026-06-14 19:37:29,27782,636,450,1639151,225b69a9-d37e-44d4-b72b-88f3c449e2ba
Lic. Marco Antonio Barajas,lic.marcoantoniobarajas,lic.marcoantoniobarajas@yahoo.com,44769683069,1946-10-05,"Calzada Coahuila de Zaragoza 038 Interior 278 , San Claudia los bajos, MICH 85873-5729",041.595.0913x416,c2:c8:91:c1:a8:6e,34.112.11.255,GB77LVGW6436243421203,2026-06-14 19:37:29,24538,270,453,1803164,b239b2e9-dc1b-47e9-ba79-7a4bd4cef280
Amelia Gómez Naranjo,ameliagómeznaranjo,ameliagómeznaranjo@gmail.com,88619091882,1973-11-10,"Prolongación Jaime 163 Interior 101 , San Susana de la Montaña, COL 31115-4515",+42(6)3049408167,d2:01:0a:77:ef:0f,117.176.83.79,GB53ZJEP3224542387577,2026-06-14 19:37:29,35420,635,147,813778,c33c8e20-f69e-48d1-bd19-d3a31757a347
Lic. Juan Carlos Jurado,lic.juancarlosjurado,lic.juancarlosjurado@yahoo.com,44921203137,1963-02-12,"Andador Norte Montes 982 Edif. 123 , Depto. 287 , Vieja Namibia, NL 78561",(424)384-2028x0507,f4:c1:e8:c9:2d:da,219.157.76.241,GB12ECIY4796856077407,2026-06-14 19:37:29,12201,738,575,709885,477acc7f-c2f8-4452-a34d-3d1c21518764
Isabel Benavídez Mesa,isabelbenavídezmesa,isabelbenavídezmesa@gmail.com,14123929037,2015-02-21,"Boulevard Nayarit 973 Interior 785 , Vieja Malta, QRO 17703",1-560-434-7848x410,28:9a:74:14:c9:d6,114.141.69.102,GB17XZNX8558306675317,2026-06-14 19:37:29,32346,560,343,1402447,cf45ce64-a487-4644-a44e-f7e8b3a1bc56
Ing. Salvador Fajardo,ing.salvadorfajardo,ing.salvadorfajardo@yahoo.com,77102397450,1975-06-11,"Circunvalación Loya 890 876 , San Mauro los altos, BC 87006-9866",(321)865-9406,d7:5c:0e:63:e1:9d,183.119.23.201,GB58TQBP6074816765638,2026-06-14 19:37:29,5931,61,862,875550,4ec0c7db-608c-482b-99a0-3b46cd8297bb
Mtro. Celia Lozano,mtro.celialozano,mtro.celialozano@yahoo.com,88558849258,1982-11-24,"Circunvalación del Río 882 Interior 434 , San Lucía los altos, GRO 21399-1913",450.121.1879x6602,25:5c:3a:ee:cb:6a,68.254.200.7,GB10EGRF3608558880754,2026-06-14 19:37:29,9902,502,818,1094228,3f5d051d-7136-4c2d-bef4-fe5e20b4724f
Omar Alcántar,omaralcántar,omaralcántar@gmail.com,26910214761,1943-02-18,"Periférico Baja California 303 Interior 567 , Vieja República de Moldova, GRO 41550",461.393.1044,4e:78:4d:44:a2:80,208.46.120.84,GB60HCQX6029397994987,2026-06-14 19:37:29,26119,160,543,134081,573a30aa-72f9-4fd7-af8b-c36f3b1bab9b
Marisol Julio Bustos Flores,marisoljuliobustosflores,marisoljuliobustosflores@gmail.com,17283801433,2019-11-02,"Retorno Eslovaquia 082 Edif. 697 , Depto. 724 , San Ricardo los bajos, AGS 34185",840-623-4176,6d:4d:b5:24:49:b8,47.169.106.75,GB98ZUHH7672099177902,2026-06-14 19:37:29,30796,514,615,671343,dd13e94c-a817-4cf4-bfe3-c5acf7dd5744
Bernabé Corral Lugo,bernabécorrallugo,bernabécorrallugo@hotmail.com,11928779377,1938-06-29,"Privada Sur Ceballos 099 108 , San Octavio los bajos, BCS 25199",1-317-995-6922,ce:f5:55:f3:d0:df,81.250.140.206,GB94ETSX2733459190631,2026-06-14 19:37:29,34625,506,453,1820238,75d17318-3456-4470-bdbe-2dffae9df458
Florencia Jaime Echeverría,florenciajaimeecheverría,florenciajaimeecheverría@yahoo.com,57819290479,1920-08-11,"Periférico Norte Peralta 564 Interior 835 , San Estela los bajos, AGS 76658-2198",+08(7)3188497443,46:7b:f6:a0:7e:17,53.155.18.40,GB10VICJ6820508669453,2026-06-14 19:37:29,14699,761,652,849186,1ca2cd81-d38b-452b-981b-daa4ae7b2d7e
Yolanda Federico Sauceda,yolandafedericosauceda,yolandafedericosauceda@hotmail.com,12474019861,1985-09-11,"Periférico Zacatecas 940 Interior 581 , San Alfredo los altos, BC 71648-5782",642-247-5655x1158,30:4d:c5:fa:ea:ea,117.237.242.193,GB40TQRI7555601985220,2026-06-14 19:37:29,8888,348,648,1335727,f487bbe2-ef5b-4312-96c0-128f4ab6c46d
Lic. Débora Carreón,lic.déboracarreón,lic.déboracarreón@gmail.com,31735917812,1988-04-01,"Continuación Norte Almonte 956 Interior 788 , Vieja Azerbaiyán, TLAX 28694-1014",+23(5)8922931421,8f:92:79:d6:8b:0f,144.110.214.251,GB20SUWP9083842737894,2026-06-14 19:37:29,28499,866,608,864084,29561046-da7b-418b-a1e4-61e2ba965d28
Cecilia Cavazos Gaona,ceciliacavazosgaona,ceciliacavazosgaona@gmail.com,34344233068,1995-07-29,"Andador Rangel 767 115 , San Eric los altos, AGS 65169",1-321-707-0068x007,21:a4:18:26:03:78,4.137.22.136,GB92RHRV8271679022838,2026-06-14 19:37:29,8305,33,821,1386139,09ddead6-a15b-4eef-bc34-7b7a3b60d365
Dr. Abraham Lozano,dr.abrahamlozano,dr.abrahamlozano@gmail.com,73639559159,1973-03-29,"Callejón Sur Soliz 808 137 , Nueva Mali, JAL 65232",1-948-124-7565,98:30:9d:e6:32:55,42.9.57.249,GB35HZSJ7698646929662,2026-06-14 19:37:29,2898,514,734,41405,e34f9063-0cc3-47d3-8764-f83866a4377f
Arcelia Reynaldo Lugo,arceliareynaldolugo,arceliareynaldolugo@hotmail.com,95017049727,2008-09-07,"Circuito Gálvez 278 748 , Nueva Mónaco, MICH 92330-0545",197-185-1548,06:05:56:c8:ec:9c,27.53.68.101,GB51OSNC2317447582447,2026-06-14 19:37:29,22036,247,781,1812642,787b64a2-77ea-4924-86e1-0847133413c5
Ing. Samuel Rodrígez,ing.samuelrodrígez,ing.samuelrodrígez@yahoo.com,47067216953,1992-02-08,"Andador Sosa 557 Edif. 229 , Depto. 963 , Vieja Angola, CAMP 30035",665-900-9264x5123,a9:02:e7:71:7c:4b,28.155.68.165,GB43VWAG4831726601871,2026-06-14 19:37:29,10858,31,175,828967,68044ae0-662a-43df-82c0-54ee0cf6e550
Zoé Mayte Jiménez,zoémaytejiménez,zoémaytejiménez@yahoo.com,13138073542,1934-11-30,"Circunvalación Cortés 031 Edif. 863 , Depto. 127 , San Bianca los altos, COAH 77734-6496",808-206-7707x985,78:a3:59:b2:d8:5b,29.147.149.120,GB39HWLX6537440785113,2026-06-14 19:37:29,26305,966,1,1034354,5d227c6d-d9b7-4e19-9bf5-6a970d56c478
Mtro. Daniela Arias,mtro.danielaarias,mtro.danielaarias@gmail.com,76054706684,2016-09-01,"Circuito Portugal 225 Interior 511 , San Marco Antonio los altos, OAX 51765",223.397.2981x8835,9c:ba:1a:5b:87:92,140.53.45.224,GB37XQRW8203511458375,2026-06-14 19:37:29,4598,16,446,1342637,a75f82eb-6abb-403f-acae-9696df871f4d
Julio César Longoria,juliocésarlongoria,juliocésarlongoria@hotmail.com,67773553978,1968-04-25,"Calle Saint Kitts y Nevis 479 Interior 112 , Vieja República Dominicana, NAY 61232",1-058-828-0919x576,00:d8:11:b3:e4:dc,93.66.46.85,GB35JJZD8550816464900,2026-06-14 19:37:29,4164,955,714,1095086,de9abcb4-a9c0-42c5-8c93-df652507c7ab
Sr(a). Isaac de la Rosa,sr(a).isaacdelarosa,sr(a).isaacdelarosa@gmail.com,83307934261,1927-07-26,"Continuación Norte Irizarry 841 Edif. 716 , Depto. 983 , San Úrsula los bajos, SON 75076-9259",(132)589-2678,ee:8e:c9:95:02:2e,92.105.250.170,GB95LHGB8605688394359,2026-06-14 19:37:29,10126,163,232,1031135,ca0d0b98-422e-4c8a-b494-3a90f9deb2a1
Laura José María Longoria,laurajosémaríalongoria,laurajosémaríalongoria@hotmail.com,38987829561,2024-12-23,"Pasaje Colima 482 Edif. 978 , Depto. 109 , San José los bajos, DF 29031-0964",1-028-445-1892x53824,de:47:7e:bf:4d:d6,52.255.207.144,GB49OVHR3335264155722,2026-06-14 19:37:29,10058,179,143,783463,e32c8209-1cee-40f2-8f52-76b0e69017ee
Mateo Salvador Cantú,mateosalvadorcantú,mateosalvadorcantú@yahoo.com,39034517969,1960-07-15,"Cerrada Belarús 688 441 , Nueva Sri Lanka, SIN 55516",811-604-7219x346,a8:39:a7:cf:c1:95,108.249.43.60,GB67FMIB3455608971779,2026-06-14 19:37:29,414,360,832,1980363,23910f37-2450-4e9c-a509-5c82dfa9861c
Guillermina Laboy,guillerminalaboy,guillerminalaboy@yahoo.com,76985859073,1914-06-07,"Pasaje Sudáfrica 739 Edif. 468 , Depto. 455 , San Agustín los altos, NAY 92202-8054",(655)114-0130x944,fd:25:50:31:a2:c8,148.214.30.127,GB62OGMN7912984648292,2026-06-14 19:37:29,10244,185,35,21342,566803a2-fcbe-4b71-a88c-278c866df650
Sr(a). Luis Miguel Casares,sr(a).luismiguelcasares,sr(a).luismiguelcasares@hotmail.com,86787128882,1936-02-05,"Circuito Michoacán de Ocampo 107 907 , San Espartaco los bajos, BCS 12981",327.571.3350x4807,8a:e5:89:05:2b:da,59.159.151.178,GB45TFHK9946525333844,2026-06-14 19:37:29,32014,225,644,846728,f0b5e48d-99bf-4152-b19b-f5d7941f7fb4
Julio César Laura Ríos Saavedra,juliocésarlauraríossaavedra,juliocésarlauraríossaavedra@gmail.com,9952257146,1981-03-17,"Cerrada San Luis Potosí 071 Edif. 695 , Depto. 797 , Nueva Argelia, SLP 01399",(106)782-3183x6426,47:53:69:a1:47:5a,74.180.173.42,GB77WHTD5131283354831,2026-06-14 19:37:29,30031,293,820,1208761,a247dfb5-3c75-4c0b-9425-243cbfd0983b
Dr. Natividad Galarza,dr.natividadgalarza,dr.natividadgalarza@yahoo.com,82954450753,2010-02-13,"Callejón Serrano 883 936 , San Salvador los altos, DGO 30291",546-344-5405,a9:78:a7:df:6b:ef,94.102.127.148,GB65ZNXP9170109107320,2026-06-14 19:37:29,9646,529,860,1735570,1b4be2ea-27f5-4818-88ea-88b3f0cb9564
